1.975000, 0.140000, 0.733158
2.475000, 0.800000, 0.955633
1.275000, 0.600000, 0.457138
0.350000, 0.080000, 0.123710
2.475000, 0.740000, 0.943937
1.925000, 0.500000, 0.732361
2.150000, 0.760000, 0.873954
1.525000, 1.880000, 0.414177
1.800000, 0.780000, 0.688636
0.775000, 1.540000, 0.240216
2.925000, 0.900000, 0.997387
1.375000, 1.840000, 0.387067
0.475000, 1.980000, 0.145041
1.025000, 0.320000, 0.367741
0.925000, 0.180000, 0.331903
0.100000, 0.600000, 0.034356
1.150000, 0.520000, 0.411433
1.800000, 1.400000, 0.518970
0.625000, 1.840000, 0.190273
1.850000, 1.180000, 0.607406
0.750000, 0.620000, 0.261475
0.025000, 1.520000, 0.007881
0.650000, 1.120000, 0.213442
0.750000, 0.300000, 0.266581
1.925000, 0.040000, 0.713878
0.400000, 0.660000, 0.138070
1.225000, 1.840000, 0.353308
1.775000, 0.740000, 0.674526
1.200000, 0.860000, 0.414952
2.375000, 0.460000, 0.880791
0.525000, 1.500000, 0.164642
2.150000, 0.700000, 0.856470
0.975000, 0.740000, 0.338611
0.300000, 0.340000, 0.105235
0.700000, 1.920000, 0.211616
1.500000, 1.940000, 0.408277
0.300000, 0.360000, 0.105332
1.900000, 1.880000, 0.455012
2.375000, 0.180000, 0.860771
1.525000, 0.280000, 0.562337
0.825000, 0.600000, 0.288677
0.875000, 0.560000, 0.307824
1.925000, 0.560000, 0.738047
0.400000, 1.380000, 0.127547
0.300000, 0.280000, 0.105430
0.675000, 1.060000, 0.223683
1.350000, 1.080000, 0.451458
0.275000, 0.820000, 0.093025
2.475000, 0.420000, 0.901295
0.800000, 0.560000, 0.280383
1.625000, 1.460000, 0.474156
2.050000, 0.780000, 0.836439
1.175000, 1.420000, 0.363180
2.250000, 1.000000, 1.000000
1.175000, 1.940000, 0.339843
2.000000, 0.940000, 0.872528
0.875000, 0.980000, 0.293731
1.050000, 1.100000, 0.346759
1.325000, 1.360000, 0.411794
0.700000, 0.740000, 0.240680
2.350000, 0.760000, 0.927338
1.625000, 1.520000, 0.464288
1.950000, 1.580000, 0.491024
2.750000, 0.940000, 0.994482
0.925000, 0.640000, 0.324213
2.100000, 0.040000, 0.774557
0.225000, 0.240000, 0.079145
0.575000, 0.380000, 0.202565
2.925000, 0.320000, 0.986392
1.990000, 1.081300, 0.715723
2.950000, 0.940000, 0.998974
1.775000, 1.740000, 0.456875
0.950000, 1.980000, 0.281712
0.200000, 1.020000, 0.066226
0.125000, 0.240000, 0.043972
0.675000, 0.260000, 0.239531
0.675000, 1.360000, 0.214343
2.225000, 0.980000, 0.989991
1.800000, 0.220000, 0.669837
2.400000, 0.000000, 0.864237
2.725000, 0.700000, 0.971179
0.125000, 0.580000, 0.043391
